text,label
You are so stupid,bullying
Nobody likes you,bullying
You are useless,bullying
Go away loser,bullying
You are pathetic,bullying
Shut up idiot,bullying
You are disgusting,bullying
You are a failure,bullying
I hate you,bullying
You are trash,bullying
You are horrible,bullying
You are worthless,bullying
You are dumb,bullying
You are ugly,bullying
No one wants you,bullying
You are annoying,bullying
Stop talking fool,bullying
You are a joke,bullying
You are embarrassing,bullying
You are nothing,bullying
Go kill yourself,bullying
You are crazy,bullying
You are hopeless,bullying
Nobody cares about you,bullying
You are weak,bullying
You are the worst,bullying
You are garbage,bullying
You are toxic,bullying
Get lost idiot,bullying
You are a clown,bullying
You are sick,bullying
You are ridiculous,bullying
You are a loser,bullying
You are fake,bullying
You are unwanted,bullying
You are mean,bullying
You are stupid person,bullying
You are dumb head,bullying
You are brainless,bullying
You are useless fellow,bullying
You are horrible person,bullying
You are shameful,bullying
You are a mistake,bullying
You are hated,bullying
You are awful,bullying
You are cheap,bullying
You are nasty,bullying
You are immature,bullying
You are selfish,bullying
You are terrible,bullying
You are the problem,bullying
You are inferior,bullying
You are bad,bullying
You are irritating,bullying
You are slow,bullying
You are dumb guy,bullying
You are stupid girl,bullying
You are hopeless case,bullying
You are weak minded,bullying
You are brain dead,bullying
You are useless human,bullying
You are nobody,bullying
You are worthless person,bullying
You are disgrace,bullying
You are embarrassing yourself,bullying
You are failure person,bullying
You are annoying me,bullying
You are ugly person,bullying
You are fake friend,bullying
You are trash person,bullying
You are mean person,bullying
You are horrible friend,bullying
You are toxic person,bullying
You are stupid kid,bullying
You are annoying kid,bullying
You are terrible friend,bullying
You are unwanted here,bullying
You are the worst ever,bullying
You are shame,bullying
You are bad person,bullying
You are sick person,bullying
You are worst student,bullying
You are useless student,bullying
You are dumb student,bullying
You are hopeless student,bullying
You are pathetic loser,bullying
You are disgusting person,bullying
You are awful friend,bullying
You are fake person,bullying
You are irritating person,bullying
You are nothing special,bullying
You are total failure,bullying
You are embarrassing person,bullying
You are stupid fellow,bullying
You are worst person,bullying
You are worthless friend,bullying
You are useless friend,bullying
You are horrible student,bullying
Have a nice day,not bullying
You did great work,not bullying
Keep going,not bullying
I appreciate you,not bullying
You are amazing,not bullying
Well done,not bullying
Proud of you,not bullying
You are talented,not bullying
Good job,not bullying
Excellent work,not bullying
You are kind,not bullying
You are helpful,not bullying
You are smart,not bullying
You are brilliant,not bullying
You are awesome,not bullying
You are strong,not bullying
You are inspiring,not bullying
You are creative,not bullying
You are wonderful,not bullying
You are fantastic,not bullying
You are positive,not bullying
You are supportive,not bullying
You are respectful,not bullying
You are thoughtful,not bullying
You are hardworking,not bullying
You are dedicated,not bullying
You are honest,not bullying
You are friendly,not bullying
You are cheerful,not bullying
You are generous,not bullying
You are helpful friend,not bullying
You are amazing student,not bullying
You are best friend,not bullying
You are lovely person,not bullying
You are great student,not bullying
You are nice person,not bullying
You are sweet,not bullying
You are polite,not bullying
You are talented student,not bullying
You are hardworking student,not bullying
You are smart student,not bullying
You are bright student,not bullying
You are excellent student,not bullying
You are good friend,not bullying
You are wonderful friend,not bullying
You are caring,not bullying
You are confident,not bullying
You are motivated,not bullying
You are respectful person,not bullying
You are supportive friend,not bullying
You are positive person,not bullying
You are honest friend,not bullying
You are kind friend,not bullying
You are brilliant student,not bullying
You are creative person,not bullying
You are fantastic friend,not bullying
You are good human,not bullying
You are strong person,not bullying
You are amazing person,not bullying
You are talented person,not bullying
You are awesome friend,not bullying
You are bright person,not bullying
You are cheerful friend,not bullying
You are nice student,not bullying
You are polite student,not bullying
You are respectful student,not bullying
You are supportive student,not bullying
You are good teammate,not bullying
You are helpful teammate,not bullying
You are amazing teammate,not bullying
You are creative student,not bullying
You are hardworking person,not bullying
You are kind student,not bullying
You are honest student,not bullying
You are smart kid,not bullying
You are good kid,not bullying
You are sweet friend,not bullying
You are wonderful student,not bullying
You are excellent friend,not bullying
You are brilliant kid,not bullying
You are respectful kid,not bullying
You are positive kid,not bullying
You are inspiring student,not bullying
You are caring friend,not bullying
You are generous friend,not bullying
You are supportive person,not bullying
You are thoughtful friend,not bullying
You are motivated student,not bullying
You are confident student,not bullying
You are cheerful student,not bullying
You are friendly student,not bullying
You are helpful person,not bullying
You are amazing kid,not bullying
You are wonderful person,not bullying
You are awesome student,not bullying
You are brilliant friend,not bullying
You are fantastic student,not bullying
You are best teammate,not bullying
